word,N,N1
abran,"[['comete', 0], ['abran', 2.220446049250313e-16], ['pseudo', 2.3314683517128287e-15], ['arrastre', 7.649436639667329e-14], ['estafa', 1.0547118733938987e-13]]","[['abran', 0], ['comete', 1.1102230246251565e-16], ['pseudo', 2.55351295663786e-15], ['arrastre', 7.671641100159832e-14], ['estafa', 1.0547118733938987e-13]]"
acusa,"[['odias', 0], ['acusa', 1.1102230246251565e-16], ['merced', 1.2212453270876722e-15], ['valientes', 1.7319479184152442e-14], ['nietos', 3.5860203695392556e-14]]","[['acusa', 0], ['odias', 1.1102230246251565e-16], ['merced', 1.1102230246251565e-15], ['valientes', 1.7319479184152442e-14], ['nietos', 3.5860203695392556e-14]]"
ahhhh,"[['ahhh', 0], ['ahhhh', 0], ['escrúpulos', 9.554285718138544e-07], ['chtpm', 2.0872929052950795e-06], ['chtm', 2.087530466932108e-06]]","[['ahhh', 0], ['ahhhh', 0], ['escrúpulos', 9.554285718138544e-07], ['chtpm', 2.0872929052950795e-06], ['chtm', 2.087530466932108e-06]]"
avergüenza,"[['argüendera', 2.220446049250313e-16], ['avergüenza', 2.220446049250313e-16], ['güey', 2.220446049250313e-16], ['sinvergüenza', 2.220446049250313e-16], ['sinvergüenzas', 2.220446049250313e-16]]","[['argüendera', 0], ['avergüenza', 0], ['güey', 0], ['sinvergüenza', 0], ['sinvergüenzas', 0]]"
calumniar,"[['calumnia', 0], ['calumniar', 0], ['chairos', 0.00037995650872946207], ['téllez', 0.0006347698226464304], ['ineptos', 0.0006811427643109713]]","[['calumnia', 0], ['calumniar', 0], ['chairos', 0.00037995650872946207], ['téllez', 0.0006347698226465415], ['ineptos', 0.0006811427643111934]]"
carcel,"[['carajos', 0], ['carcel', 0], ['gustos', 3.4416913763379853e-15], ['licenciatura', 4.884981308350689e-15], ['sigamos', 8.881784197001252e-15]]","[['carcel', 0], ['carajos', 2.220446049250313e-16], ['gustos', 3.4416913763379853e-15], ['licenciatura', 5.10702591327572e-15], ['sigamos', 8.881784197001252e-15]]"
censura,"[['avanzando', 2.220446049250313e-16], ['censura', 2.220446049250313e-16], ['quedes', 2.220446049250313e-16], ['inauguración', 1.84297022087776e-14], ['valiosa', 6.716849298982197e-14]]","[['censura', 0], ['quedes', 2.220446049250313e-16], ['avanzando', 4.440892098500626e-16], ['inauguración', 1.84297022087776e-14], ['valiosa', 6.716849298982197e-14]]"
chapoypati,"[['chapoy', 0], ['chapoypati', 0], ['cmicnacional', 1.8071202245728557e-06], ['shows', 0.0003572799691771156], ['politicomx', 0.0005407570907244308]]","[['chapoy', 0], ['chapoypati', 0], ['cmicnacional', 1.8071202245728557e-06], ['shows', 0.0003572799691773376], ['politicomx', 0.0005407570907244308]]"
chingaderas,"[['chingadera', 0], ['chingaderas', 0], ['ayotzinapa', 0.0007310856074632666], ['fdoringcasar', 0.0018718473248632295], ['quejarse', 0.0021279860583561794]]","[['chingadera', 0], ['chingaderas', 0], ['ayotzinapa', 0.0007310856074633776], ['fdoringcasar', 0.0018718473248628964], ['quejarse', 0.0021279860583559573]]"
chingao,"[['chinga', 0], ['chingao', 0], ['chingo', 1.0400447170155758e-10], ['mafiosos', 5.729721945202382e-05], ['guanga', 0.00024634813242419007]]","[['chinga', 0], ['chingao', 0], ['chingo', 1.0400447170155758e-10], ['mafiosos', 5.729721945180177e-05], ['guanga', 0.00024634813242419007]]"
claudiasheinbaum,"[['claudiashein', 0], ['claudiasheinbaum', 0], ['amlolujodepresidente', 0.00020497804102981299], ['beltrandelrio', 0.0008396518487642224], ['cruzazul', 0.0016446105159780844]]","[['claudiashein', 0], ['claudiasheinbaum', 0], ['amlolujodepresidente', 0.0002049780410293689], ['beltrandelrio', 0.0008396518487645555], ['cruzazul', 0.0016446105159783064]]"
colegiorebsamen19s,"[['colegiorebsamen', 2.220446049250313e-16], ['colegiorebsamen19s', 2.220446049250313e-16], ['gordofobica', 0.0005419727614659475], ['yeidckol', 0.0005522749268653815], ['escandalamx', 0.0007722583350607826]]","[['colegiorebsamen', 0], ['colegiorebsamen19s', 0], ['gordofobica', 0.0005419727614658365], ['yeidckol', 0.0005522749268653815], ['escandalamx', 0.0007722583350608936]]"
comete,"[['abran', 0], ['comete', 2.220446049250313e-16], ['pseudo', 3.3306690738754696e-15], ['arrastre', 7.116529587847253e-14], ['estafa', 1.120215031846783e-13]]","[['comete', 0], ['abran', 1.1102230246251565e-16], ['pseudo', 3.6637359812630166e-15], ['arrastre', 7.116529587847253e-14], ['estafa', 1.120215031846783e-13]]"
corcholatas,"[['corcholata', 0], ['corcholatas', 0], ['twitt', 1.1695267843059298e-07], ['twittear', 1.1695267843059298e-07], ['establo', 7.549533468376168e-06]]","[['corcholata', 0], ['corcholatas', 0], ['twitt', 1.1695267843059298e-07], ['twittear', 1.1695267843059298e-07], ['establo', 7.549533468376168e-06]]"
