Nombre,Puesto,Usuario,Ubicación,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad
Marina del Pilar Ávila Olmeda,Gobernadora,@MarinadelPilar,Baja California,21-11-1,31-10-27,,,,M,37
Layda Elena Sansores San Román,Gobernadora,@LaydaSansores,Campeche,21-9-16,15-9-27,,,,M,76
María Eugenia Campos Galván,Gobernadora,@MaruCampos_G,Chihuahua,21-9-8,7-9-27,,,,M,46
Claudia Sheinbaum Pardo,Jefa de gobierno,@Claudiashein,Ciudad de México,18-12-5,4-10-24,,,,M,59
Indira Vizcaíno Silva,Gobernadora,@indira_vizcaino,Colima,21-11-1,21-10-27,,,,M,35
Evelyn Cecia Salgado Pineda,Gobernadora,@EvelynSalgadoP,Guerrero,21-10-15,14-10-27,,,,M,40
Lorena Cuéllar Cisneros,Gobernadora,@LorenaCuellar,Tlaxcala,21-8-31,30-8-27,,,,M,60
Martín Orozco Sandoval,gobernador,@MartinOrozcoAgs,Aguascalientes,16-12-1,30-9-22,,,,H,55
Víctor Manuel Castro Cosío,gobernador,@VictorCastroCos,Baja California Sur,21-9-1,9-9-27,,,,H,67
Rutilio Cruz Escandón Cadenas,gobernador,@RutilioEscandon,Chiapas,18-12-8,7-12-24,,,,H,64
Miguel Ángel Riquelme Solís,Gobernador,@mrikelme,Coahuila,17-12-1,30-11-23,,,,H,51
José Rosas Aispuro Torres,Gobernador,@AispuroDurango,Durango,16-9-15,14-9-22,,,,H,61
Diego Sinhue Rodríguez Vallejo,Gobernador,@diegosinhue,Guanajuato,18-9-26,25-9-24,,,,H,41
Omar Fayad Meneses,Gobernador,@omarfayad,Hidalgo,16-9-5,4-9-22,,,,H,59
Enrique Alfaro Ramírez,Gobernador,@EnriqueAlfaroR,Jalisco,18-12-6,5-12-24,,,,H,48
Alfredo del Mazo Maza,Gobernador,@alfredodelmazo,Estado de México,17-9-16,15-9-23,,,,H,47
Alfredo Ramírez Bedolla,Gobernador,@ARBedolla,Michoacán,21-10-1,30-9-27,,,,H,46
Cuahutémoc Blanco Bravo,Gobernador,@cuauhtemocb10,Morelos,18-10-1,30-9-24,,,,H,49
Miguel Ángel Navarro Quintero,Gobernador,@MiguelANavarroQ,Nayarit,21-9-19,18-9-27,,,,H,71
Samuel Alejandro García Sepúlveda,Gobernador,@samuel_garcias,Nuevo León,21-10-4,3-10-27,,,,H,34
Alejandro Ismael Murat Hinojosa,Gobernador,@alejandromurat,Oaxaca,16-12-1,30-11-22,,,,H,46
Luis Miguel Gerónimo Barbosa Huerta,Gobernador,@MBarbosaMX,Puebla,19-8-1,13-12-24,,,,H,62
Mauricio Kuri González,Gobernador,@makugo,Querétaro,21-10-1,30-9-27,,,,H,53
Carlos Manuel Joaquín Manuel González,Gobernador,@CarlosJoaquin,Quintana Roo,12-9-25,24-9-22,,,,H,57
José Ricardo Gallardo Cardona,Gobernador,@RGC_Mx,San Luis Potosí,21-9-26,25-9-27,,,,H,41
Rubén Rocha Moya,Gobernador,"@rochamoya_
",Sinaloa,21-11-1,31-10-27,,,,H,73
Francisco Alonzo Durazo Montaño,Gobernador,@AlfonsoDurazo,Sonora,21-9-13,12-9-27,,,,H,67
Carlos Manuel Merino Campos,Gobernador interino,@cmmerino,Tabasco,21-8-26,30-9-24,,,,H,58
Francisco Javier García Cabeza de Vaca,Gobernador,@fgcabezadevaca,Tamaulipas,16-10-1,30-9-22,,,,H,54
Cuitláhuac García Jiménez,Gobernador,@CuitlahuacGJ,Veracruz,18-12-1,30-11-24,,,,H,54
Mauricio Vila Dosal,Gobernador,@MauVila,Yucatán,18-10-1,30-9-24,,,,H,42
David Monreal Ávila,Gobernador,@DavidMonrealA,Zacatecas,21-9-12,11-9-27,,,,H,56
