Nombre,Puesto,Usuario,Ubicación ,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad,Comentarios
Leonardo Montañez Castro,Presidente municipal,@LeoMontanezC,Aguascalientes,21-10-15,,,,,H,,
María Teresa Jiménez Esquivel,Ex-presidenta municipal,@TereJimenezE,Aguascalientes,17-01-1,21-03-6,,,,M,38,
Norma Alicia Bustamante Martínez,Presidenta municipal,@NormaMXL,Mexicali,21-10-09,,,,,M,,
Gustavo Sanchez Velasquez,Ex-presidente municipal,@hegusave,Mexicali,19-06-3,19-09-30,,,,H,,
Milena Paola Quiroga Romero​ ,Presidenta municipal,@quirogamilena_,La Paz,21-09-27,,,,,M,35,
Biby Karen Rabelo de la Torre,Presidenta municipal,@bibyrabelo,Campeche,21-09-26,,,,,M,35,
José María Fraustro Siller,Presidente municipal,@chema_fraustro,Saltillo,22-01-01,,,,,H,67,
Elia Margarita Moreno González,Presidenta municipal,,Colima ,21-06-06,,,,,M,,
Carlos Morales Vázquez,Presidente municipal,,Tuxtla Gutiérrez,18-10-1,,,,,H,64,Cuenta eliminada
Marco Bonilla Mendoza,Presidente municipal,@soyMarcoBonilla,Chihuahua,21-09-10,,,,,H,39,
Jorge Alejandro Salum del Palacio,Presidente municipal,@JorgeSalum,Durango,19-09-01,,,,,H,60,
Mario Alejandro Navarro Saldaña,Presidente municipal,@ANavarroMX,Guanajuato,18-10-1,,,,,H,,
Norma Otilia Hernández Martínez,Presidenta municipal,@otilia_norma,Chilpancingo,18-10-1,,,,,M,43,
Sergio Edgar Baños Rubio,Presidente municipal,@sergiobanosr,Pachuca,20-10-18,,,,,H,47,
Ismael del Toro Castro,Ex-presidente municipal,@DelToroIsmael,Guadalajara,18-10-01,21-04-10,,,,H,46,
 Eduardo Fabián Martínez Lomelí,Presidente municipal interino,@EduardoLomeli__,Guadalajara,21-04-10,,,,,H,,
Jesús Pablo Lemus Navarro,Presidente municipal,@PabloLemusN,Guadalajara,21-10-01,,,,,H,53,
Juan Rodolfo Sánchez Gómez,Ex-presidente municipal,@JuanRodolfo_SG,Toluca,19-01-01,21-12-09,,,,H,51,
Raymundo Edgar Martínez Carbajal,Presidente municipal,@RaymundoMC,Toluca,21-12-09,,,,,H,57,
Alfonso Martínez Alcázar,Presidente municipal,@AlfonsoMtz_Mx,Morelia,21-09-01,,,,,H,47,
José Luis Urióstegui Salgado,Presidente municipal,@jluriosteguis,Cuernavaca,22-01-01,,,,,H,61,
María Geraldine Ponce Méndez,Presidenta municipal,@GeraldinePonceM,Tepic,21-09-17,,,,,M,28,
Luis Donaldo Colosio Riojas,Presidente municipal,@colosioriojas,Monterrey,21-10-01,,,,,H,37,
Francisco Martínez Neri,Presidente municipal,@FMartinezNeri,Oaxaca,22-01-01,,,,,H,69,
Oswaldo García Jarquín,Ex-presidente municipal,@oswaldogarciaj,Oaxaca,19-01-01,22-01-01,,,,H,46,
Eduardo Rivera Pérez,Presidente municipal,@eduardorivera01,Puebla,21-10-15,,,,,H,50,
Luis Bernardo Nava Guerrero,Presidente municipal,@LuisBNava,Querétaro,21-06-10,,,,,H,47,
Yensunni Idalia Martínez Hernández ,Presidenta municipal,@yensunniOPB,Chetumal,21-06-06,,,,,M,34,
Enrique Francisco Galindo Ceballos,Presidente municipal,@EF_Galindo,San Luis Potosí,21-10-01,,,,,H,56,
Juan de Dios Gámez Mendívil ,Presidente municipal interino,@JuandDGamez,Culiacán,22-06-10,,,,,H,37,Designado por el senado
Jesús Estrada Ferreiro,Presidenta municipal,@estradaferreiro,Culiacán,21-06-07,,,,,H,68,
Antonio Astiazarán Gutiérrez,Presidente municipal,@tonoastiazaran,Hermosillo,21-09-16,,,,,H,51,
Yolanda Osuna Huerta,Presidenta municipal,@YolandaOsunaH,Villahermosa,21-10-05,,,,,M,64,
Eduardo Abraham Gattás Báez ,Presidente municipal,@SoyLaloGattas,Ciudad Victoria,21-10-01,,,,,H,55,
Jorge Alfredo Corich Fragoso,Presidente municipal,@_JorgeCorichi,Tlaxcala,21-06-06,,,,,H,60,
Ricardo Ahued Bardahuil ,Presidente municipal,@ahuedricardo,Xalapa,22-01-01,,,,,H,65,
Renán Alberto Barrera Concha,Presidente municipal,@RenanBarrera,Mérida,21-07-22,,,,,H,43,
Jorge Miranda Castro ,Presidente municipal,@_JorgeMirandaC,Zacatecas,21-06-06,,,,,H,,
Andrés Manuel López Obrador,Presidente de la nación,@lopezobrador_,Federal,18-12-20,,,,,H,68,
