Nombre,Puesto,Usuario,Ubicación ,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad,Comentarios
Ariadna Montiel Reyes,Secretaria del bienestar,@A_MontielR,Federal,22-1-11,,,,,M,48,
Hugo López-Gatell Ramírez,Subsecretario de Prevención y Promoción de la Salud,@HLGatell,Federal,18-12-01,,,,,H,53,
Adán Augusto López Hernández,Secretario de gobernación,@adan_augusto,Federal,21-8-26,,,,,H,58,
Alejandra Frausto Guerrero,Secretaria de cultura,@alefrausto,Federal,18-12-01,,,,,M,50,
José Rafael Ojeda Durán,Secretario de marina,@AlmiranteSrio,Federal,18-12-01,,,,,H,68,
Delfina Gómez Álvarez,Secretaria de educación pública,@delfinagomeza,Federal,21-2-16,,,,,M,59,
Luis Cresencio Sandoval González,Secretario de defensa nacional,@Luis_C_Sandoval,Federal,18-12-01,,,,,H,62,
Luisa María Alcalde Luján,Secretaria del trabajo y previsión social,@LuisaAlcalde,Federal,18-12-01,,,,,M,34,
Marcelo Luis Ebrard Casaubón,Secretario de relaciones exteriores,@m_ebrard,Federal,18-12-01,,,,,H,62,
María Luisa Albores González,Secretaria del medio ambiente y recursos naturales,@Mary_Luisa_AG,Federal,20-9-02,,,,,M,46,
Román Guillermo Meyer Falcón,"Secretario de desarrollo agrario, territorial y urbano",@MeyerFalcon,Federal,18-12-01,,,,,H,39,
Rogelio Eduardo Ramírez de la O,Secretario de Hacienda y crédito público,@R_Ramirez_O,Federal,21-8-03,,,,,H,74,
Norma Rocío Nahle García,Secretaria de energía,@rocionahle,Federal,18-12-01,,,,,M,58,
Rosa Icela Rodríguez Velázquez,Secreataria de seguridad y protección ciudadana,@rosaicela_,Federal,20-10-30,,,,,M,63,
Tatiana Clouthier Carrillo,Secretaria de economía,@tatclouthier,Federal,21-1-04,,,,,M,58,
Miguel Torruco Marqués,Secretario de turismo,@TorrucoTurismo,Federal,18-12-01,,,,,H,70,
Víctor Manuel Villalobos Arámbula,Secretario de agricultura y desarrollo rural,@vmva1950,Federal,18-12-01,,,,,H,72,
Olga Zulema Adams Pereyra ,Diputada,@adams_zulema,Baja California,21-08-29,,,,,M,56,
Aleida Alavez Ruiz,Diputada,@ALEIDAALAVEZ,Ciudad de México,18-08-29,,,,,M,48,
Maria Isabel Alfaro Morales,Diputada,@IsabelAlfaroIV,Hidalgo,18-08-29,,,,,M,56,
Karla Yuritzi Almazán Burgos,Diputada,@KarlaAlmazan_B,Estado de México,18-08-29,,,,,M,48,
Odette Nayeri Almazán Muñoz,Diputada,@OdetteAlmazan8,Puebla,21-08-29,,,,,M,25,
Rosa Maria Alvarado Murguía,Diputada,@dip_murguia,Veracruz,21-08-29,,,,,M,55,
José Guadalupe Ambrocio Gachuz,Diputado,@gachuzmorena,Morelos,18-08-29,,,,,H,61,
Socorro Irma Andazola Gómez,Diputada,@AndazolaIrma,Baja California,21-08-29,,,,,M,57,
Carol Antonio Altamirano,Diputado,@CarolAntonioA,Oaxaca,18-08-29,,,,,H,58,
Martha Nabetse Arellano Reyes,Diputada,@NabetseArellano,Sinaloa,21-08-29,,,,,M,27,
Carmen Patricia Armendáriz Guerra,Diputada,@PatyArmendariz,Chiapas,21-08-29,,,,,M,67,
Martha Alicia Arreola Martínez,Diputada,@MarthaAliciaA20,Durango,21-08-29,,,,,M,65,
Reyna Celeste Ascencio Ortega,Diputada,@CelesteAscenci8,Michoacán,21-08-29,,,,,M,29,
Raymundo Atanacio Luna,Diputado,@RayAtanacioLuna,Puebla,21-08-29,,,,,H,52,
Claudia Selene Avila Flores,Diputada,@SeleneAvilaF,Ciudad de México,21-08-29,,,,,M,,No proporcionó
Ana Elizabeth Ayala Leyva,Diputada,,Sinaloa,21-08-29,,,,,M,46,
Carlos Miguel Aysa Damas,Diputado,@AysaDamas,Campeche,21-08-29,,,,,H,26,
