,Frecuencia
que,901846
de,880533
no,819699
a,611752
la,579239
el,496588
es,455669
y,431626
en,419569
lo,384105
un,367663
por,281330
qué,271508
me,265738
una,237320
te,221906
los,208081
se,203606
con,186404
para,176975
mi,164158
está,162001
si,161207
bien,145125
pero,137415
yo,131597
eso,131278
las,130178
sí,128963
su,124712
tu,114982
aquí,108363
del,107237
al,106581
como,103093
le,95140
más,93086
esto,86414
ya,80722
todo,80303
esta,80239
vamos,77603
muy,71768
hay,70847
ahora,69168
algo,67686
estoy,67269
tengo,64410
nos,61613
tú,61188
nada,58182
cuando,57509
ha,56993
este,56720
sé,56640
estás,56060
así,56027
puedo,54065
cómo,53984
quiero,53182
sólo,53001
soy,52436
tiene,52317
gracias,51700
o,50711
él,50348
bueno,49997
fue,49660
ser,48858
hacer,47951
son,46687
todos,46246
era,45986
eres,45976
vez,45289
tienes,44842
creo,43419
ella,43044
he,43039
ese,41337
voy,40525
puede,39279
sabes,38981
hola,38193
sus,37939
porque,37344
dios,37179
quién,37048
nunca,36804
dónde,36597
quieres,36495
casa,36471
favor,36008
esa,35810
dos,35659
tan,35392
señor,35350
tiempo,35323
verdad,34780
estaba,34278
mejor,33822
están,33779
va,33430
hombre,33418
usted,33388
mucho,33126
hace,32752
entonces,32738
siento,32509
tenemos,32278
puedes,31087
ahí,30871
ti,30241
vida,30193
ver,30078
alguien,28668
sr,28512
hasta,28288
sin,28224
mí,28032
solo,27777
años,27497
sobre,27308
decir,27267
uno,27231
siempre,27032
oh,27012
ir,26440
cosas,26385
también,26380
antes,26182
has,25839
ni,25808
mis,25698
día,25128
estar,24873
estamos,24838
noche,23802
nadie,23720
otra,23486
quiere,23437
parece,23345
nosotros,23218
poco,23142
padre,22847
trabajo,22692
gente,22682
mira,22612
vas,22408
sea,22318
les,22108
donde,22108
mismo,21822
hecho,21794
ellos,21719
dijo,21108
pasa,20596
dinero,20300
hijo,19958
tal,19851
otro,19479
hablar,19368
seguro,19295
claro,19178
estas,18775
lugar,18752
mundo,18726
amigo,18582
espera,18474
mierda,18459
han,18453
tus,18370
sabe,18336
después,18115
momento,17973
desde,17891
fuera,17816
cosa,17755
tipo,17742
mañana,17701
podemos,17075
dije,16903
gran,16657
necesito,16629
estado,16361
podría,16203
acuerdo,16201
papá,16091
tener,15981
dice,15976
mío,15928
crees,15900
buena,15836
gusta,15711
nuestro,15704
nuevo,15677
será,15624
haciendo,15575
días,15509
nombre,15496
buen,15479
había,15468
ven,15454
tres,15409
menos,15360
debe,15354
tenía,15230
mal,15165
conmigo,15109
madre,15059
hoy,15029
quien,14992
sido,14631
mamá,14533
tienen,14509
luego,14237
todas,14137
allí,13904
toda,13755
hora,13644
mujer,13579
visto,13428
haces,13421
importa,13343
contigo,13331
ve,13190
tarde,13172
oye,13170
parte,13145
haber,13090
hombres,13066
problema,12884
mas,12852
saber,12761
quería,12694
aún,12626
veces,12612
nuestra,12569
hacerlo,12461
cada,12318
hizo,12052
veo,12032
tanto,12011
razón,11993
ustedes,11968
idea,11832
esos,11684
van,11631
quizá,11557
debo,11533
alguna,11504
cierto,11488
ud,11337
muerto,11335
unos,11228
estos,11181
salir,11160
policía,11152
realmente,11034
demasiado,11015
familia,10942
pueden,10847
cabeza,10846
hemos,10733
amigos,10596
chica,10488
cariño,10485
lado,10472
allá,10407
entre,10385
minutos,10380
digo,10367
algún,10364
serio,10270
cuidado,10201
pasó,10161
buenas,10153
somos,10121
amor,10109
puerta,9983
ves,9947
vaya,9943
ah,9939
suerte,9820
eh,9797
rápido,9776
cuenta,9711
quizás,9645
io,9613
esas,9582
pues,9541
pasado,9445
pensé,9441
todavía,9334
hermano,9312
debes,9268
casi,9261
forma,9229
aqui,9213
chico,9185
ok,9146
dicho,9125
nueva,9099
sabía,9091
muchas,9090
dentro,9071
hice,9038
contra,9022
auto,8960
camino,8917
ayuda,8913
primera,8911
hacia,8886
vi,8885
miedo,8881
adiós,8821
primero,8817
debería,8793
poder,8725
niños,8677
sería,8663
historia,8662
hey,8645
mientras,8602
ciudad,8581
dijiste,8571
espero,8501
cuánto,8480
esposa,8464
pronto,8432
chicos,8428
cualquier,8418
viejo,8410
debemos,8404
deja,8384
año,8371
muerte,8343
hablando,8342
manos,8328
da,8328
loco,8320
problemas,8232
mano,8191
guerra,8160
semana,8111
pasar,8084
vale,8068
cuál,8007
viene,8002
volver,7897
toma,7895
caso,7892
agua,7882
haré,7857
vete,7853
entiendo,7839
horas,7837
personas,7816
capitán,7775
adelante,7762
niño,7725
listo,7724
noches,7683
buenos,7659
iba,7652
juntos,7641
dame,7578
único,7569
déjame,7568
cerca,7555
otros,7548
sigue,7539
grande,7534
arriba,7523
jefe,7503
habla,7487
supongo,7440
manera,7433
quieren,7406
feliz,7405
significa,7374
sangre,7370
fin,7359
bajo,7347
llama,7334
venir,7284
morir,7257
importante,7247
hiciste,7229
ojos,7226
