Nombre,Puesto,Usuario,Ubicación ,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad,Comentarios
Olga Zulema Adams Pereyra ,Diputada,@adams_zulema,Baja California,21-08-29,,,,,M,56,
Aleida Alavez Ruiz,Diputada,@ALEIDAALAVEZ,Ciudad de México,18-08-29,,,,,M,48,
Maria Isabel Alfaro Morales,Diputada,@IsabelAlfaroIV,Hidalgo,18-08-29,,,,,M,56,
Karla Yuritzi Almazán Burgos,Diputada,@KarlaAlmazan_B,Estado de México,18-08-29,,,,,M,48,
Odette Nayeri Almazán Muñoz,Diputada,@OdetteAlmazan8,Puebla,21-08-29,,,,,M,25,
Rosa Maria Alvarado Murguía,Diputada,@dip_murguia,Veracruz,21-08-29,,,,,M,55,
José Guadalupe Ambrocio Gachuz,Diputado,@gachuzmorena,Morelos,18-08-29,,,,,H,61,
Socorro Irma Andazola Gómez,Diputada,@AndazolaIrma,Baja California,21-08-29,,,,,M,57,
Carol Antonio Altamirano,Diputado,@CarolAntonioA,Oaxaca,18-08-29,,,,,H,58,
Martha Nabetse Arellano Reyes,Diputada,@NabetseArellano,Sinaloa,21-08-29,,,,,M,27,
Carmen Patricia Armendáriz Guerra,Diputada,@PatyArmendariz,Chiapas,21-08-29,,,,,M,67,
Martha Alicia Arreola Martínez,Diputada,@MarthaAliciaA20,Durango,21-08-29,,,,,M,65,
Reyna Celeste Ascencio Ortega,Diputada,@CelesteAscenci8,Michoacán,21-08-29,,,,,M,29,
Raymundo Atanacio Luna,Diputado,@RayAtanacioLuna,Puebla,21-08-29,,,,,H,52,
Claudia Selene Avila Flores,Diputada,@SeleneAvilaF,Ciudad de México,21-08-29,,,,,M,,No proporcionó
Ana Elizabeth Ayala Leyva,Diputada,,Sinaloa,21-08-29,,,,,M,46,
Carlos Miguel Aysa Damas,Diputado,@AysaDamas,Campeche,21-08-29,,,,,H,26,
Manuel de Jesus Baldenebro Arredondo,Diputado,@ManuelBaldeneb4,Sonora,18-08-29,,,,,H,60,
Martha Barajas García,Diputada,@dipmarthabaraja,San Luis Potosí,21-08-29,,,,,M,58,Cuenta privada
Maximiano Barboza Llamas,Diputado,,Jalisco,21-08-29,,,,,H,62,
Rocío Natalí Barrera Puc,Diputada,@RocioBarreraPuc,Yucatán,21-08-29,,,,,M,36,
Jorge Alberto Barrera Toledo,Diputado,@jrg_toledo,Morelos,21-08-29,,,,,H,37,
Wilbert Alberto Batun Chulim,Diputado,@albertobatun_,Quintana Roo,21-08-29,,,,,H,42,
Juan Angel Bautista Bravo,Diputado,@JuanBautis31,Estado de México,18-08-29,,,,,H,41,
Esteban Bautista Hernández,Diputado,,Veracruz,21-08-29,,,,,H,55,
Maria del Carmen Bautista Pelaéz,Diputada,@carmenbautistaz,Oaxaca,18-08-29,,,,,M,31,
Juan Isaías Bertín Sandoval,Diputado,@isaiasbertinbc,Baja California,21-08-29,,,,,H,33,
Bruno Blancas Mercado,Diputado,@bruno_blancas,Jalisco,21-08-29,,,,,H,47,
Raquel Bonilla Herrera,Diputada,@RaquelBonillaHe,Veracruz,18-08-29,,,,,M,38,
Francisco Javier Borrego Adame,Diputado,@FranciscoBAdame,Coahuila,18-08-29,,,,,H,67,
Jesús Roberto Briano Borunda,Diputado,,Chihuahua,21-08-29,,,,,H,43,
Ismael Brito Mazariegos,Diputado,@IsmaelBritoM,Chiapas,21-08-29,,,,,H,51,
Adriana Bustamante Castellanos,Diputada,@ad_bustama,Chiapas,21-08-29,,,,,M,47,
Hector Armando Cabada Alvidrez,Diputado,@armando_cabada,Chihuahua,21-09-13,,,,,H,54,
Martha Azucena Camacho Reynoso,Diputada,@marthaazucena23,Estado de México,21-08-29,,,,,M,39,
Luz Adriana Candelario Figueroa,Diputada,,Jalisco,21-08-29,,,,,M,38,
Susana Cano González,Diputada,@SusanaCanoG,Estado de México,18-08-29,,,,,M,73,
Óscar Cantón Zetina,Diputado,@oscar_canton,Tabasco,21-08-29,,,,,H,69,
Mauricio Cantú Gonzalez,Diputado,@CantuMauricio,Nuevo León,21-08-29,,,,,H,34,
 Nelly Minerva Carrasco Godínez,Diputada,@NellyCarrascoIV,Estado de México,18-08-29,,,,,M,40,
Olegaria Carrazco Macias,Diputada,@olecarrazco,Sinaloa,18-08-29,,,,,M,62,
Mario Miguel Carrillo Cubillas,Diputado,@mariomiguelcarr,Puebla,21-08-29,,,,,H,41,
Alejandro Carvajal Hidalgo,Diputado,@acarvajalh,Puebla,18-08-29,,,,,H,42,
Omar Enrique Castañeda González,Diputado,,Durango,21-08-29,,,,,H,42,
Celestina Castillo Secundino,Diputada,,Estado de México,21-08-29,,,,,M,48,
Manuel Guillermo Chapman Moreno,Diputado,@BillyChapmanMX,Sinaloa,21-08-29,,,,,H,54,
Olga Leticia Chavez Rojas,Diputada,,Nuevo León,21-08-29,,,,,M,58,
Andrea Chávez Treviño,Diputada,@AndreaChavezTre,Chihuahua,21-08-29,,,,,M,25,
María Guadalupe Chavira de la Rosa,Diputada,@GpeChaviraMX,Ciudad de México,21-08-29,,,,,M,34,
Angélica Ivonne Cisneros Luján,Diputada,@ivonnecisnerosL,Veracruz,21-08-29,,,,,M,65,
Veronica Collado Crisolia,Diputada,@VeroColladoMx,Estado de México,21-08-29,,,,,M,40,
Armando Contreras Castillo,Diputado,@ArmandoContCast,Oaxaca,18-08-29,,,,,H,54,
Janicie Contreras García,Diputada,@JanicieContrera,Tabasco,21-08-29,,,,,M,50,
Gustavo Contreras Montes,Diputado,@GustavContreras,Estado de México,18-08-29,,,,,H,42,
Armando Corona Arvizu,Diputado,@ArmandoCoronaA,Estado de México,21-08-29,,,,,H,27,
Leonor Coutiño Gutiérrez,Diputada,,Chiapas,21-08-29,,,,,M,55,
Tania Cruz Santos Flora,Diputada,@TaniaCruz_D11,Veracruz,18-08-29,,,,,M,44,
José Miguel De la Cruz Lima,Diputado,@DMigueldelaCruz,Estado de México,21-08-29,,,,,H,29,
Erika Vanessa Del Castillo Ibarra,Diputada,@VanConstruyendo,Ciudad de México,18-08-29,,,,,M,44,
