Nombre,Puesto,Usuario,Ubicación ,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad
Jorge Arganis Díaz Leal,"Secretario de infraestructura, comunicaciones y transportes",-,,,,,,,,
Roberto Salcedo Aquino,Secretario de función pública,-,,,,,,,,
María Estela Ríos González,Consejería ejecutiva,-,,,,,,,,
Ariadna Montiel Reyes,Secretaria del bienestar,@A_MontielR,Federal,11-1-22,,,,,M,48
Adán Augusto López Hernández,Secretario de gobernación,@adan_augusto,Federal,26-8-21,,,,,H,58
Alejandra Frausto Guerrero,Secretaria de cultura,@alefrausto,Federal,1-12-18,,,,,M,50
José Rafael Ojeda Durán,Secretario de marina,@AlmiranteSrio,Federal,1-12-18,,,,,H,68
Delfina Gómez Álvarez,Secretaria de educación pública,@delfinagomeza,Federal,16-2-21,,,,,M,59
Luis Cresencio Sandoval González,Secretario de defensa nacional,@Luis_C_Sandoval,Federal,1-12-18,,,,,H,62
Luisa María Alcalde Luján,Secretaria del trabajo y previsión social,@LuisaAlcalde,Federal,1-12-18,,,,,M,34
Marcelo Luis Ebrard Casaubón,Secretario de relaciones exteriores,@m_ebrard,Federal,1-12-18,,,,,H,62
María Luisa Albores González,Secretaria del medio ambiente y recursos naturales,@Mary_Luisa_AG,Federal,2-9-20,,,,,M,46
Román Guillermo Meyer Falcón,"Secretario de desarrollo agrario, territorial y urbano",@MeyerFalcon,Federal,1-12-18,,,,,H,39
Rogelio Eduardo Ramírez de la O,Secretario de Hacienda y crédito público,@R_Ramirez_O,Federal,3-8-21,,,,,H,74
Norma Rocío Nahle García,Secretaria de energía,@rocionahle,Federal,1-12-18,,,,,M,58
Rosa Icela Rodríguez Velázquez,Secreataria de seguridad y protección ciudadana,@rosaicela_,Federal,30-10-20,,,,,M,63
Tatiana Clouthier Carrillo,Secretaria de economía,@tatclouthier,Federal,4-1-21,,,,,M,58
Miguel Torruco Marqués,Secretario de turismo,@TorrucoTurismo,Federal,1-12-18,,,,,H,70
Víctor Manuel Villalobos Arámbula,Secretario de agricultura y desarrollo rural,@vmva1950,Federal,1-12-18,,,,,H,72
Jorge Carlos Alcocer Varela,Secretario de salud,,,,,,,,,
