Nombre,Puesto,Usuario,Ubicación,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad
Marina del Pilar Ávila Olmeda,Gobernadora,@MarinadelPilar,Baja California,1-11-21,31-10-27,,,,M,37
Layda Elena Sansores San Román,Gobernadora,@LaydaSansores,Campeche,16-9-21,15-9-27,,,,M,76
María Eugenia Campos Galván,Gobernadora,@MaruCampos_G,Chihuahua,8-9-21,7-9-27,,,,M,46
Claudia Sheinbaum Pardo,Jefa de gobierno,@Claudiashein,Ciudad de México,5-12-18,4-10-24,,,,M,59
Indira Vizcaíno Silva,Gobernadora,@indira_vizcaino,Colima,1-11-21,21-10-27,,,,M,35
Evelyn Cecia Salgado Pineda,Gobernadora,@EvelynSalgadoP,Guerrero,15-10-21,14-10-27,,,,M,40
Lorena Cuéllar Cisneros,Gobernadora,@LorenaCuellar,Tlaxcala,31-8-21,30-8-27,,,,M,60
Martín Orozco Sandoval,gobernador,@MartinOrozcoAgs,Aguascalientes,1-12-16,30-9-22,,,,H,55
Víctor Manuel Castro Cosío,gobernador,@VictorCastroCos,Baja California Sur,1-9-21,9-9-27,,,,H,67
Rutilio Cruz Escandón Cadenas,gobernador,@RutilioEscandon,Chiapas,8-12-18,7-12-24,,,,H,64
Miguel Ángel Riquelme Solís,Gobernador,@mrikelme,Coahuila,1-12-17,30-11-23,,,,H,51
José Rosas Aispuro Torres,Gobernador,@AispuroDurango,Durango,15-9-16,14-9-22,,,,H,61
Diego Sinhue Rodríguez Vallejo,Gobernador,@diegosinhue,Guanajuato,26-9-18,25-9-24,,,,H,41
Omar Fayad Meneses,Gobernador,@omarfayad,Hidalgo,5-9-16,4-9-22,,,,H,59
Enrique Alfaro Ramírez,Gobernador,@EnriqueAlfaroR,Jalisco,6-12-18,5-12-24,,,,H,48
Alfredo del Mazo Maza,Gobernador,@alfredodelmazo,Estado de México,16-9-17,15-9-23,,,,H,47
Alfredo Ramírez Bedolla,Gobernador,@ARBedolla,Michoacán,1-10-21,30-9-27,,,,H,46
Cuahutémoc Blanco Bravo,Gobernador,@cuauhtemocb10,Morelos,1-10-18,30-9-24,,,,H,49
Miguel Ángel Navarro Quintero,Gobernador,@MiguelANavarroQ,Nayarit,19-9-21,18-9-27,,,,H,71
Samuel Alejandro García Sepúlveda,Gobernador,@samuel_garcias,Nuevo León,4-10-21,3-10-27,,,,H,34
Alejandro Ismael Murat Hinojosa,Gobernador,@alejandromurat,Oaxaca,1-12-16,30-11-22,,,,H,46
Luis Miguel Gerónimo Barbosa Huerta,Gobernador,@MBarbosaMX,Puebla,1-8-19,13-12-24,,,,H,62
Mauricio Kuri González,Gobernador,@makugo,Querétaro,1-10-21,30-9-27,,,,H,53
Carlos Manuel Joaquín Manuel González,Gobernador,@CarlosJoaquin,Quintana Roo,25-9-12,24-9-22,,,,H,57
José Ricardo Gallardo Cardona,Gobernador,@RGC_Mx,San Luis Potosí,26-9-21,25-9-27,,,,H,41
Rubén Rocha Moya,Gobernador,"@rochamoya_
",Sinaloa,1-11-21,31-10-27,,,,H,73
Francisco Alonzo Durazo Montaño,Gobernador,@AlfonsoDurazo,Sonora,13-9-21,12-9-27,,,,H,67
Carlos Manuel Merino Campos,Gobernador interino,@cmmerino,Tabasco,26-8-21,30-9-24,,,,H,58
Francisco Javier García Cabeza de Vaca,Gobernador,@fgcabezadevaca,Tamaulipas,1-10-16,30-9-22,,,,H,54
Cuitláhuac García Jiménez,Gobernador,@CuitlahuacGJ,Veracruz,1-12-18,30-11-24,,,,H,54
Mauricio Vila Dosal,Gobernador,@MauVila,Yucatán,1-10-18,30-9-24,,,,H,42
David Monreal Ávila,Gobernador,@DavidMonrealA,Zacatecas,12-9-21,11-9-27,,,,H,56
,,,,,,,,,,
Nombre,Puesto,Usuario,Ubicación,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad
Martín Orozco Sandoval,gobernador,@MartinOrozcoAgs,Aguascalientes,1-12-2016,30-9-22,,,,H,55
Víctor Manuel Castro Cosío,gobernador,@VictorCastroCos,Baja California Sur,1-9-21,9-9-27,,,,H,67
Rutilio Cruz Escandón Cadenas,gobernador,@RutilioEscandon,Chiapas,8-12-18,7-12-24,,,,H,64
Miguel Ángel Riquelme Solís,Gobernador,@mrikelme,Coahuila,1-12-17,30-11-23,,,,H,51
José Rosas Aispuro Torres,Gobernador,@AispuroDurango,Durango,15-9-16,14-9-22,,,,H,61
Diego Sinhue Rodríguez Vallejo,Gobernador,@diegosinhue,Guanajuato,26-9-18,25-9-24,,,,H,41
Omar Fayad Meneses,Gobernador,@omarfayad,Hidalgo,5-9-16,4-9-22,,,,H,59
Enrique Alfaro Ramírez,Gobernador,@EnriqueAlfaroR,Jalisco,6-12-18,5-12-24,,,,H,48
Alfredo del Mazo Maza,Gobernador,@alfredodelmazo,Estado de México,16-9-17,15-9-23,,,,H,47
Alfredo Ramírez Bedolla,Gobernador,@ARBedolla,Michoacán,1-10-21,30-9-27,,,,H,46
Cuahutémoc Blanco Bravo,Gobernador,@cuauhtemocb10,Morelos,1-10-18,30-9-24,,,,H,49
Miguel Ángel Navarro Quintero,Gobernador,@MiguelANavarroQ,Nayarit,19-9-21,18-9-27,,,,H,71
Samuel Alejandro García Sepúlveda,Gobernador,@samuel_garcias,Nuevo León,4-10-21,3-10-27,,,,H,34
Alejandro Ismael Murat Hinojosa,Gobernador,@alejandromurat,Oaxaca,1-12-16,30-11-22,,,,H,46
Luis Miguel Gerónimo Barbosa Huerta,Gobernador,@MBarbosaMX,Puebla,1-8-19,13-12-24,,,,H,62
Mauricio Kuri González,Gobernador,@makugo,Querétaro,1-10-21,30-9-27,,,,H,53
Carlos Manuel Joaquín Manuel González,Gobernador,@CarlosJoaquin,Quintana Roo,25-9-12,24-9-22,,,,H,57
José Ricardo Gallardo Cardona,Gobernador,@RGC_Mx,San Luis Potosí,26-9-21,25-9-27,,,,H,41
Rubén Rocha Moya,Gobernador,"@rochamoya_
",Sinaloa,1-11-21,31-10-27,,,,H,73
Francisco Alonzo Durazo Montaño,Gobernador,@AlfonsoDurazo,Sonora,13-9-21,12-9-27,,,,H,67
Carlos Manuel Merino Campos,Gobernador interino,@cmmerino,Tabasco,26-8-21,30-9-24,,,,H,58
Francisco Javier García Cabeza de Vaca,Gobernador,@fgcabezadevaca,Tamaulipas,1-10-16,30-9-22,,,,H,54
Cuitláhuac García Jiménez,Gobernador,@CuitlahuacGJ,Veracruz,1-12-18,30-11-24,,,,H,54
Mauricio Vila Dosal,Gobernador,@MauVila,Yucatán,1-10-18,30-9-24,,,,H,42
David Monreal Ávila,Gobernador,@DavidMonrealA,Zacatecas,12-9-21,11-9-27,,,,H,56
