Nombre,Puesto,Usuario,Ubicación ,Fecha de inicio,Fecha de término,Seguidores,Tweets hechos,Tweets respuesta,Componente SG,Edad
Ariadna Montiel Reyes,Secretaria del bienestar,@A_MontielR,Federal,22-1-11,,,,,M,48
Adán Augusto López Hernández,Secretario de gobernación,@adan_augusto,Federal,21-8-26,,,,,H,58
Alejandra Frausto Guerrero,Secretaria de cultura,@alefrausto,Federal,18-12-01,,,,,M,50
José Rafael Ojeda Durán,Secretario de marina,@AlmiranteSrio,Federal,18-12-01,,,,,H,68
Delfina Gómez Álvarez,Secretaria de educación pública,@delfinagomeza,Federal,21-2-16,,,,,M,59
Luis Cresencio Sandoval González,Secretario de defensa nacional,@Luis_C_Sandoval,Federal,18-12-01,,,,,H,62
Luisa María Alcalde Luján,Secretaria del trabajo y previsión social,@LuisaAlcalde,Federal,18-12-01,,,,,M,34
Marcelo Luis Ebrard Casaubón,Secretario de relaciones exteriores,@m_ebrard,Federal,18-12-01,,,,,H,62
María Luisa Albores González,Secretaria del medio ambiente y recursos naturales,@Mary_Luisa_AG,Federal,20-9-02,,,,,M,46
Román Guillermo Meyer Falcón,"Secretario de desarrollo agrario, territorial y urbano",@MeyerFalcon,Federal,18-12-01,,,,,H,39
Rogelio Eduardo Ramírez de la O,Secretario de Hacienda y crédito público,@R_Ramirez_O,Federal,21-8-03,,,,,H,74
Norma Rocío Nahle García,Secretaria de energía,@rocionahle,Federal,18-12-01,,,,,M,58
Rosa Icela Rodríguez Velázquez,Secreataria de seguridad y protección ciudadana,@rosaicela_,Federal,20-10-30,,,,,M,63
Tatiana Clouthier Carrillo,Secretaria de economía,@tatclouthier,Federal,21-1-04,,,,,M,58
Miguel Torruco Marqués,Secretario de turismo,@TorrucoTurismo,Federal,18-12-01,,,,,H,70
Víctor Manuel Villalobos Arámbula,Secretario de agricultura y desarrollo rural,@vmva1950,Federal,18-12-01,,,,,H,72
